site_id,nom_site,commune,pays,type_site,x_l93,y_l93,longitude,latitude,phase_id,periode,sous_periode,datation_debut,datation_fin,sources_count,source_references,occupation_necropole_raw,chronologie_comment,source_file,armement_summary,or_summary,remarques
SITE-010e973c5e57984f,Plateforme départementale d'activités de Brumath zone 2,Bernolsheim/Mommenheim,FR,nécropole,1043016.0,6860471.0,7.668363496232342,48.75306524211023,SITE-55bc8f95d1000087-PH1,Hallstatt,Ha D2,-540.0,-500.0,3,"data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Cony, Rault 2022 ; Cony, Mulot et al. à paraitre",-,"4 enclos dont un double. Enclos 2 : 1 inhumation avec deux fer de lance et deux fibule en son centre. enclos 3 4 inhumations (+ 1 probable) et 1 dépôts secondaire de crémation. Enclos 4 deux inhumations. Traces de coffrage. mobilier riche : perle tonnelet en ambre, torque massif, brassards tonnelets, 11 armilles, 2 pendeloques en or, 1 plaque de ceinture",,,,
SITE-a84afa388390d55b,Langeschiesse,Bischoffsheim,FR,nécropole,1033489.0,6830824.0,7.515940773333067,48.49182153239982,SITE-244f83393566deed-PH1,Hallstatt,Ha C,-660.0,-620.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,"3 tombes avec bracelets en lignite, anneau en bronze",,,,
SITE-a84afa388390d55b,Langeschiesse,Bischoffsheim,FR,nécropole,1033489.0,6830824.0,7.515940773333067,48.49182153239982,SITE-ff39ddb9ddc09535-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,"3 tombes avec bracelets en lignite, anneau en bronze",,,,
SITE-535241bc660873a6,groupe sud (site global),Brumath,FR,tumulus,1045246.0,6854246.0,7.693612009877664,48.69598604762286,SITE-fa9daedec16bec49-PH1,indéterminé,,,,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,"4 tumulus (tum 4, 6, 17 et 66)",,,,
SITE-f0d3c55b6298de9b,"Burgweg Rechts, zone de stockage, LGV Est",Brumath/Eckwersheim,FR,tumulus,1045143.0,6853715.0,7.691786591801452,48.69127342957848,SITE-9b226069e63c589e-PH1,Hallstatt,Ha C,-660.0,-620.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Féliu 2010 (BSR) et rapport 2023,Bz C - Ha D2,"rasoir en fer, situle. Même nécropole que Brumath sud",,,,
SITE-f0d3c55b6298de9b,"Burgweg Rechts, zone de stockage, LGV Est",Brumath/Eckwersheim,FR,tumulus,1045143.0,6853715.0,7.691786591801452,48.69127342957848,SITE-905801746327e04a-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Féliu 2010 (BSR) et rapport 2023,Bz C - Ha D2,"rasoir en fer, situle. Même nécropole que Brumath sud",,,,
SITE-f0d3c55b6298de9b,"Burgweg Rechts, zone de stockage, LGV Est",Brumath/Eckwersheim,FR,tumulus,1045143.0,6853715.0,7.691786591801452,48.69127342957848,SITE-67263d9cfd9af660-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Féliu 2010 (BSR) et rapport 2024,Bz C - Ha D2,"rasoirs en fer, fibules, anneaux de bras, boucles d'oreille, ceinture, bracelets, brassards-tonnelets, épingles, torques",,,,
SITE-f0d3c55b6298de9b,"Burgweg Rechts, zone de stockage, LGV Est",Brumath/Eckwersheim,FR,tumulus,1045143.0,6853715.0,7.691786591801452,48.69127342957848,SITE-ab414583cc921dc3-PH1,Hallstatt,Ha D2,-540.0,-500.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Féliu 2010 (BSR) et rapport 2024,Bz C - Ha D2,"rasoirs en fer, fibules, anneaux de bras, boucles d'oreille, ceinture, bracelets, brassards-tonnelets, épingles, torques",,,,
SITE-2fed2e07396e1b89,Haspelacker et Aufs Dingsheimer Feld COS 4-1,Dingsheim Stutzheim-Offenheim,FR,tumulus,1041947.0,6846356.0,7.64256680565211,48.626894782862635,SITE-a13c3e8b9216e131-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Habsque-Sudour 202,Ha D1-D2,"6 inhumation dont une double (7 individus) formant un groupe funéraire (pas d'indice de présence de tertre) et une isolée, traces de coffrage pour 5 sépultures, 5 enveloppes souples restituté. 4 sépultures ont livré du mobilier. 532 : un fragment de polissoir. 533 : 1 boucle d'oreille filiforme avec perle en verre et une pendeloque triangulaire (avec dent animale) + un collier composé d'un grand anneau central, 2 perles en verre, 2 annelet, 4 perles en roche noire, 1 perle en terre cuite, 2 bracelet en ruban incisés, 1 pince à épiler, 1 annelet. 442 : 1 boucle d'oreille à jonc creux, 1 perle globulaire bleue turquoise en verre, une virole en fer un galet en quartzite. 531 : un collier composé d'un anneau, 2 annelets en roche noire, 1 perles en ambre, 2 bracelet de moyenne hauteur en roche noire, 1 galet. 610 : 2 bracelets de moyenne hauteur (terre cuite et roche noire). Il semblerait que se soit les tombes féminines qui ont livré du mobilier. les tombes masculines pas de mobilier (prudence quand même,les ossements sont mal conservés). L'inhumation double (532) correspond à l'inhumations de deux ado (14-16 ans et 13-14 ans)",,,,
SITE-2fed2e07396e1b89,Haspelacker et Aufs Dingsheimer Feld COS 4-1,Dingsheim Stutzheim-Offenheim,FR,tumulus,1041947.0,6846356.0,7.64256680565211,48.626894782862635,SITE-8ab81cda35417bf3-PH1,Hallstatt,Ha D2,-540.0,-500.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Habsque-Sudour 202,Ha D1-D2,"6 inhumation dont une double (7 individus) formant un groupe funéraire (pas d'indice de présence de tertre) et une isolée, traces de coffrage pour 5 sépultures, 5 enveloppes souples restituté. 4 sépultures ont livré du mobilier. 532 : un fragment de polissoir. 533 : 1 boucle d'oreille filiforme avec perle en verre et une pendeloque triangulaire (avec dent animale) + un collier composé d'un grand anneau central, 2 perles en verre, 2 annelet, 4 perles en roche noire, 1 perle en terre cuite, 2 bracelet en ruban incisés, 1 pince à épiler, 1 annelet. 442 : 1 boucle d'oreille à jonc creux, 1 perle globulaire bleue turquoise en verre, une virole en fer un galet en quartzite. 531 : un collier composé d'un anneau, 2 annelets en roche noire, 1 perles en ambre, 2 bracelet de moyenne hauteur en roche noire, 1 galet. 610 : 2 bracelets de moyenne hauteur (terre cuite et roche noire). Il semblerait que se soit les tombes féminines qui ont livré du mobilier. les tombes masculines pas de mobilier (prudence quand même,les ossements sont mal conservés). L'inhumation double (532) correspond à l'inhumations de deux ado (14-16 ans et 13-14 ans)",,,,
SITE-e6af738b0e3160a8,Ampfad et Neustrasse - COS 1.3,Duttlenheim,FR,tumulus,1038067.0,6834890.0,7.580986476598554,48.525967060368785,SITE-4b4a085395f5fcb8-PH1,Hallstatt,Ha C,-660.0,-620.0,2,"data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Bulletin de l’Association française pour l’étude de l’âge du fer, 2021, 39, pp.13-16.",Ha B2-B3 - Ha D1,"52 inhumations, bracelets en bronze, en fer, en fer et bronze, en lignite, pendeloques. Population féminine surreprésentée. Datation : Ha D1 avec une tombe LTA1.",,,,
SITE-e6af738b0e3160a8,Ampfad et Neustrasse - COS 1.3,Duttlenheim,FR,tumulus,1038067.0,6834890.0,7.580986476598554,48.525967060368785,SITE-df5f53eaaab28b3e-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,"data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Bulletin de l’Association française pour l’étude de l’âge du fer, 2021, 39, pp.13-16.",Ha B2-B3 - Ha D1,"52 inhumations, bracelets en bronze, en fer, en fer et bronze, en lignite, pendeloques. Population féminine surreprésentée. Datation : Ha D1 avec une tombe LTA1.",,,,
SITE-3845a3f5fa2cd5e5,"Ampfad et Neustrasse - COS 1.3, étape 1",Duttlenheim,FR,nécropole,1038067.0,6834890.0,7.580986476598554,48.525967060368785,SITE-07436a57848c8da8-PH1,Hallstatt,Ha B2-B3,-850.0,-800.0,2,"data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Rapport Duttlenheim, Seguin",Ha B2-B3 - Ha D1,"10 sépultures à crémation contenues en urnes céramique, 1 langgraben, 1 enclos circulaire",,,,
SITE-e5289224e4073942,"Burgweg Rechts, LGV Est Européenne 2e phase - zone de stockage",Eckwersheim,FR,tumulus,1045143.0,6853715.0,7.691786591801452,48.69127342957848,SITE-a5542a08831a8f14-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Féliu 2023,Bz D - Ha D2,,,,,
SITE-e5289224e4073942,"Burgweg Rechts, LGV Est Européenne 2e phase - zone de stockage",Eckwersheim,FR,tumulus,1045143.0,6853715.0,7.691786591801452,48.69127342957848,SITE-be60d41e7661970e-PH1,Hallstatt,Ha D2,-540.0,-500.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Féliu 2023,Bz D - Ha D2,,,,,
SITE-9a1ebe0d893829d3,Elsenheim (nécropole),Elsenheim,FR,nécropole,1034282.0,6794103.0,7.498358754868214,48.16157044946503,SITE-a7df13167ad4d490-PH1,Hallstatt,Ha C,-660.0,-620.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,4 bracelets à boules,,,,
SITE-9a1ebe0d893829d3,Elsenheim (nécropole),Elsenheim,FR,nécropole,1034282.0,6794103.0,7.498358754868214,48.16157044946503,SITE-b0906b83cc1f0080-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,4 bracelets à boules,,,,
SITE-79d164c242ab35e5,Ergersheim (nécropole),Ergersheim,FR,nécropole,1034040.0,6839547.0,7.530155199094665,48.56987852328453,SITE-5f85a20835cec6ba-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,gd anneau en bronze et fgt de grand bracelet plat,,,,
SITE-79d164c242ab35e5,Ergersheim (nécropole),Ergersheim,FR,nécropole,1034040.0,6839547.0,7.530155199094665,48.56987852328453,SITE-ab14124f444687cc-PH1,Hallstatt,Ha D2,-540.0,-500.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,gd anneau en bronze et fgt de grand bracelet plat,,,,
SITE-79d164c242ab35e5,Ergersheim (nécropole),Ergersheim,FR,nécropole,1034040.0,6839547.0,7.530155199094665,48.56987852328453,SITE-c7995b0bebbf21ec-PH1,Hallstatt,Ha D3,-500.0,-450.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,gd anneau en bronze et fgt de grand bracelet plat,,,,
SITE-908dab827b91a321,Ernolsheim/Bruche (nécropole),Ernolsheim/Bruche,FR,nécropole,1037138.0,6838986.0,7.571635997429631,48.56323522284928,SITE-5541a912ffc48602-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,une paire de bracelets à boules,,,,
SITE-908dab827b91a321,Ernolsheim/Bruche (nécropole),Ernolsheim/Bruche,FR,nécropole,1037138.0,6838986.0,7.571635997429631,48.56323522284928,SITE-e230fb0fab69b7c9-PH1,Hallstatt,Ha C,-800.0,-620.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,une paire de bracelets à boules,,,,
SITE-b98a82cde14a8de7,Grasweg-PAPE,Erstein,FR,nécropole,1042971.0,6824662.0,7.639153027092962,48.43153786297373,SITE-9592f11c086af160-PH1,Hallstatt,Ha B2-B3,-850.0,-800.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Croutsch 2016,-,,,,,
SITE-c52db06069609cfb,ancienne poste/école,Fegersheim,FR,nécropole,1045503.0,6831264.0,7.678607079491826,48.489484217134944,SITE-e72f6da6dcaf7c7e-PH1,Hallstatt,Ha D3,-500.0,-450.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,1 inhumation avec 3 et 4 bracelets à bossettes aux deux bras,,,,
SITE-c3b487860430e89e,"nord village, près de la voie ferrée",Fegersheim,FR,nécropole,1045560.0,6833125.0,7.680869270805743,48.50616588215548,SITE-325a6ff852c0c9c5-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,"1 anneau de jambe, 1 anneau fragmentaire et 1 torque muni de 2 anneaux de suspension",,,,
SITE-c3b487860430e89e,"nord village, près de la voie ferrée",Fegersheim,FR,nécropole,1045560.0,6833125.0,7.680869270805743,48.50616588215548,SITE-96d2b98310b29859-PH1,Hallstatt,Ha D2,-540.0,-500.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,"1 anneau de jambe, 1 anneau fragmentaire et 1 torque muni de 2 anneaux de suspension",,,,
SITE-c3b487860430e89e,"nord village, près de la voie ferrée",Fegersheim,FR,nécropole,1045560.0,6833125.0,7.680869270805743,48.50616588215548,SITE-92790b4558dc2e1b-PH1,Hallstatt,Ha D3,-500.0,-450.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;cag67,-,"1 anneau de jambe, 1 anneau fragmentaire et 1 torque muni de 2 anneaux de suspension",,,,
SITE-b3aec648a886e68f,Rocade sud de Strasbourg,Fegersheim,FR,nécropole,1044810.0,6833687.0,7.671183487548971,48.511611995861905,SITE-03e486a6ac95a0d8-PH1,Hallstatt,Ha C,-800.0,-620.0,2,"data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Ferrier et al. 2021, p. 483",,1 inhumation (isolée?) (date radiocarbone : 2540 +- 30 BP),,,,
SITE-32d530057ab0f5b6,Schiessheck - étape 3,Forstfeld,FR,nécropole,1069556.0,6874181.0,8.040517944257347,48.86146999635414,SITE-581554ab2cdac5e7-PH1,Hallstatt,Ha D3,-500.0,-450.0,3,"data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Châtelet, Boës, Plouin 2003 ; PCR Haguenau",Ha D1 à D3,4 sépultures à inhumation ; boucles d'oreille en or,,,,
SITE-ea4d6f0022e7c11b,Rocade sud de Strasbourg,Geispolsheim,FR,tumulus,1044526.0,6834250.0,7.667795404391288,48.51681877913269,SITE-eeb2c13e880bc9bf-PH1,Hallstatt,Ha D3,-500.0,-450.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;BSR 2015,-,"chercher le rapport. Localisation (X, Y) non précise. à chercher.",,,,
SITE-ea4d6f0022e7c11b,Rocade sud de Strasbourg,Geispolsheim,FR,tumulus,1044526.0,6834250.0,7.667795404391288,48.51681877913269,SITE-abb3f86675ffb04f-PH1,La Tène,LT B1,-380.0,-320.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;BSR 2015,-,"chercher le rapport. Localisation (X, Y) non précise. à chercher.",,,,
SITE-bd2af10a165dfc60,Flaschen (site COS 4-2),Griesheim-sur-Souffel,FR,nécropole,1042025.0,6847261.0,7.644345217385392,48.634979919381514,SITE-71a1e6b26d7c6b0e-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Goepfert et al. 2020,Ha D1-D2,petit ensemble funéraire de 7 tombes. Les quelques indices chronologiques nous orientent vers une datation Ha D1-D2,,,,
SITE-bd2af10a165dfc60,Flaschen (site COS 4-2),Griesheim-sur-Souffel,FR,nécropole,1042025.0,6847261.0,7.644345217385392,48.634979919381514,SITE-8b4c8a10236d24c6-PH1,Hallstatt,Ha D2,-540.0,-500.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;Goepfert et al. 2020,Ha D1-D2,petit ensemble funéraire de 7 tombes. Les quelques indices chronologiques nous orientent vers une datation Ha D1-D2,,,,
SITE-184ca99b371501c3,Dachshuebel-Birklach,Haguenau,FR,nécropole,1053294.0,6870473.0,7.816195946193777,48.83730988493651,SITE-3becc4b3532c2203-PH1,Hallstatt,Ha D2,-540.0,-500.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;PCR Haguenau,Âge du Bronze et Hallstatt,"une fibule à timbale sans plus de précision, pas de tumulus mentionné",,,,
SITE-184ca99b371501c3,Dachshuebel-Birklach,Haguenau,FR,nécropole,1053294.0,6870473.0,7.816195946193777,48.83730988493651,SITE-ddf519f84cb20ad3-PH1,Hallstatt,Ha D3,-500.0,-450.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;PCR Haguenau,Âge du Bronze et Hallstatt,"une fibule à timbale sans plus de précision, pas de tumulus mentionné",,,,
SITE-25306cd640de471b,Donauberg - étape 1,Haguenau,FR,tumulus,1064771.0,6871122.0,7.972803012316198,48.83674155468381,SITE-60f746d5ac24e2e6-PH1,Hallstatt,Ha B2-B3,-850.0,-800.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;PCR Haguenau,Âge du Bronze à LT A,5 sépultures dont 1 crémation et 4 indéterminés,,,,
SITE-25306cd640de471b,Donauberg - étape 1,Haguenau,FR,tumulus,1064771.0,6871122.0,7.972803012316198,48.83674155468381,SITE-8928633f1bf4fb94-PH1,Hallstatt,Ha C,-800.0,-660.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;PCR Haguenau,Âge du Bronze à LT A,5 sépultures dont 1 crémation et 4 indéterminés,,,,
SITE-c1fef6d7c4fbaeca,Donauberg - étape 2,Haguenau,FR,tumulus,1064771.0,6871122.0,7.972803012316198,48.83674155468381,SITE-0692680b9d263e62-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;PCR Haguenau,Âge du Bronze à LT A,"1 sépulture, pratique indéterminée",,,,
SITE-acd065721cf3ed16,Donauberg - étape 3,Haguenau,FR,tumulus,1064771.0,6871122.0,7.972803012316198,48.83674155468381,SITE-e552c8678e8fe3d0-PH1,Hallstatt,Ha D2,-540.0,-500.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;PCR Haguenau,Âge du Bronze à LT A,5 sépultures dont 3 inhumations et 2 indéterminées,,,,
SITE-acd065721cf3ed16,Donauberg - étape 3,Haguenau,FR,tumulus,1064771.0,6871122.0,7.972803012316198,48.83674155468381,SITE-e3e4028ff918fda7-PH1,Hallstatt,Ha D3,-500.0,-450.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;PCR Haguenau,Âge du Bronze à LT A,5 sépultures dont 3 inhumations et 2 indéterminées,,,,
SITE-6e6e20c4d6c21c39,Kirchlach - étape 1,Haguenau,FR,tumulus,1060045.0,6867380.0,7.905376808166887,48.80581055168032,SITE-478191611e314bb1-PH1,Hallstatt,Ha C,-800.0,-660.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;PCR Haguenau,Âge du Bronze à LT D,"1 sépulture, pratique indéterminée",,,,
SITE-b1573845dec7804b,Kirchlach - étape 2,Haguenau,FR,tumulus,1060045.0,6867380.0,7.905376808166887,48.80581055168032,SITE-169f07db6ba1c399-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;PCR Haguenau,Âge du Bronze à LT D,inhumation,,,,
SITE-0513a5f26b9d6d84,Kirchlach - étape 3,Haguenau,FR,tumulus,1060045.0,6867380.0,7.905376808166887,48.80581055168032,SITE-0422443f9c1e84e7-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;PCR Haguenau,Âge du Bronze à LT D,4 sépultures dont 2 inhumations et 2 indéterminées,,,,
SITE-0513a5f26b9d6d84,Kirchlach - étape 3,Haguenau,FR,tumulus,1060045.0,6867380.0,7.905376808166887,48.80581055168032,SITE-a63541528093be65-PH1,Hallstatt,Ha D2,-540.0,-500.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;PCR Haguenau,Âge du Bronze à LT D,4 sépultures dont 2 inhumations et 2 indéterminées,,,,
SITE-0513a5f26b9d6d84,Kirchlach - étape 3,Haguenau,FR,tumulus,1060045.0,6867380.0,7.905376808166887,48.80581055168032,SITE-06199e12de7a2b71-PH1,Hallstatt,Ha D3,-500.0,-450.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;PCR Haguenau,Âge du Bronze à LT D,4 sépultures dont 2 inhumations et 2 indéterminées,,,,
SITE-0788b422c7aed5e3,Maegstub - Wiwitzer,Haguenau,FR,tumulus,1044607.0,6871457.0,7.69885262670105,48.85084746081377,SITE-bb2c77171fae3a09-PH1,Hallstatt,Ha D1,-620.0,-540.0,2,data/input/20250324_necropoles_BFIIIb-HaD3_Als-Lor (1).xlsx;PCR Haguenau,Âge du Bronze à LT B,"1 sépulture, pratique indéterminée",,,,
