site_id,nom_site,commune,departement,pays,type_site,longitude,latitude,x_l93,y_l93,periode,sous_periode,datation_debut,datation_fin,confiance,source,description,bibliographie
CAG68_andolsheim_1dba5e7c,"(005 AH) - Les premières mentions de l’agglomération d’Ansulfishaim datent de 768 et 777. En 768, le roi Pépin confirm",Andolsheim,68,FR,,,,,,,had,,,LOW,CAG 68 — Haut-Rhin (M. Zehner),"(005 AH) - Les premières mentions de l’agglomération  d’Ansulfishaim  datent
de 768 et 777. En 768, le roi Pépin confirme à Fulrad, abbé de  Saint-Denis,
les biens qu’il a reçus de Wido, dont Andolsheim. En 777, Fulrad en fit  don
à l’abbaye de Saint-Denis qui les rendit au  prieuré  de  Lièpvre :  Exempla
donationis Fulradi ad locum sancti Alexandri quod dicitur Lepreha  de  villa
quæ vocatur Ansulsheim, année 777 (Archives départementales du  Haut-Rhin) ;
- J.M.B. Clauss, 1895, p. 43 ; - Dict. Comm., 1980, p. 90.",
CAG68_andolsheim_204f7c9e,Husarenbrunnen,Andolsheim,68,FR,TUMULUS,,,,,HALLSTATT,Ha D,-800,-450,HIGH,CAG 68 — Haut-Rhin (M. Zehner),"(001, 002 AP) - Au lieu-dit Husarenbrunnen, situé dans la forêt  entre  Wihr
et Andolsheim (fig. 18, p. 93), F.-Ch. Faudel et G.  Bleicher  signalent  la
fouille d’un grand tumulus appelé Dachsbuckel. Le fouilleur (un officier  de
Neuf-Brisach) y aurait découvert  des  ossements  et  un  crâne  intact.  Ce
tertre est signalé, autant chez F.-Ch. Faudel et G. Bleicher que  chez  A.W.
Naue, comme faisant partie de la commune de Widensohlen.  Schoepflin-Ravenèz
mentionne un second tumulus qui est moins visible, car très  érodé  par  les
labours. Il indique également, d’après un témoignage  oral,  qu’une   a  été
dégagée dans le Dachsbuckel. Ch. Winckler positionne les  deux  tumulus  sur
sa carte archéologique et  les  date  de  la  période  hallstattienne  (sans
aucune preuve). Les deux tumulus se  situent  actuellement  sur  la  commune
d’Andolsheim, à proximité de la maison  forestière  (M.  Jehl,  Ch.  Bonnet,
1954a). Un troisième tumulus se trouve à la  limite  des  deux  communes  de
Widensohlen et Andolsheim. Un bracelet à tampons en bronze massif, avec  une
tige carénée décorée de  sept  stries  longitudinales,  a  été  découvert  à
Widensohlen (Hallstatt D). Il n’est pas impossible qu’il provienne  d’un  de
ces  tertres.  (cf.  Widensohlen,  n° 367).  Musée  d’Unterlinden,  Colmar :
Schoepflin-Ravenèz, 1849-1851, III, p. 62 ; - F.-Ch.  Faudel,  G.  Bleicher,
1883-1885,  p. 42,  81 ;  - Messtischblatt  n° 62,  Colmar,   1886 ;   - Ch.
Winckler, 1897, carte ; - A.W. Naue, 1905, p. 398 ; - M. Jehl,  Ch.  Bonnet,
1954a, p. 25, fig. 1; 1958, p. 15, fig. 10 ; - Dict.  Comm.,  1980,  p. 90 ;
- Ch. Bonnet, S.  Plouin,  Fr.  Lambach,  1997,  p. 18-19,  fig. 1,  n° 1-3,
p. 30, n° 1-3.",
CAG68_andolsheim_3f88d8a8,Orchbuhl,Andolsheim,68,FR,TUMULUS,,,,,,,,,MEDIUM,CAG 68 — Haut-Rhin (M. Zehner),"(007 AH) - Au lieu-dit Orchbuhl, en 1966, l’O.N.F. a signalé  la  découverte
d’un enclos  circulaire  ou  tumulus :  Prospection  aérienne  des  Eaux  et
Forêts. Information Carte Archéologique, S.R.A. Strasbourg.",
CAG68_andolsheim_867f62a0,(004 AH) - Une portion de voie romaine a été localisée par M. Fuchs en 1994 confirmant une hypothèse antérieure. Cett,Andolsheim,68,FR,VOIE,,,,,GALLO_ROMAIN,,,,HIGH,CAG 68 — Haut-Rhin (M. Zehner),"(004 AH) - Une portion de voie romaine a été localisée par M. Fuchs en  1994
confirmant une hypothèse  antérieure.  Cette  route  prendrait  naissance  à
Breisach et se dirigerait vers les vallées de Munster  et  de  Kaysersberg :
Dict. Comm., 1980,  p. 90-92 ;  - Information  Carte  Archéologique,  S.R.A.
Strasbourg.",
CAG68_andolsheim_9f79b7c6,Hircht,Andolsheim,68,FR,,,,,,,,,,LOW,CAG 68 — Haut-Rhin (M. Zehner),"(008 AH) -  Au  lieu-dit  Hircht,  en  1966,  on  a  découvert  un  bâtiment
rectangulaire : Prospection aérienne des Eaux et Forêts.  Information  Carte
Archéologique, S.R.A. Strasbourg.",
CAG68_andolsheim_33843dc4,"(001 AH) - A l’est de la D45, en 1986, M. Lasserre a repéré un réseau de fossés orthogonaux : Prospection aérienne",Andolsheim,68,FR,,,,,,,,,,LOW,CAG 68 — Haut-Rhin (M. Zehner),"(001 AH) - A l’est de la D45, en 1986, M. Lasserre a  repéré  un  réseau  de
fossés orthogonaux : Prospection aérienne  M.  Lasserre.  Information  Carte
Archéologique, S.R.A. Strasbourg.",
CAG68_appenwihr_81c3fe3b,"(001 AP) - La forêt du Kastenwald 2* : F.-Ch. Faudel, G. Bleicher, 1883-1885, p. 82. La série de tumulus n’était p",Appenwihr,68,FR,TUMULUS,,,,,HALLSTATT_LA_TENE,Ha C,-800,-620,HIGH,CAG 68 — Haut-Rhin (M. Zehner),"(001 AP) - La forêt du Kastenwald
2*  : F.-Ch. Faudel, G. Bleicher, 1883-1885,  p. 82.  La  série  de  tumulus
n’était pas connue de tous les chercheurs au siècle dernier. Ph. de  Golbéry
parle d’un grand tumulus sur la commune d’Appenwihr pour  la  première  fois
en 1823. Schoepflin-Ravenèz reprend cette indication en  1851.  Personne  ne
semble connaître le nombre exact de tertres dans  la  forêt  du  Kastenwald.
A.W. Naue signale la même structure que Ph.  de  Golbéry  et  avoue  ne  pas
connaître d’autres tertres à Appenwihr. Ch. Winckler, en 1897, ne  mentionne
pas de tumulus à cet endroit : Ch. Winckler, 1897.
11 tumulus sont actuellement  comptabilisés  dans  la  forêt  du  Kastenwald
grâce aux recherches de M. Jehl, Ch.  Bonnet  et  S.  Plouin  (fig. 18).  La
plupart des tertres ont été fouillés entre  1950  et  1980.  Leur  élévation
date du Bronze moyen et ils sont réutilisés  à  l’époque  hallstattienne.  2
d’entre eux sont édifiés au Hallstatt. La nécropole a été  abandonnée  à  la
fin de La Tène  ancienne :  Ph.  de  Golbéry,  1823,  p. 8 ;  1831,  p. 11 ;
- Schoepflin-Ravenèz, 1849-1851, III, p. 62 ; - F.X.  Kraus,  1884,  p. 24 ;
- F.-Ch. Faudel, G. Bleicher, 1883-1885, p. 82 ; - F. Wolff,  1903,  p. 145,
n° 3 ; - A.W. Naue, 1905, p. 399-400 ; - Gallia, 1956,  p. 294-297,  fig. 1-
2 ; - M. Jehl, Ch. Bonnet, 1957 ; 1958, p. 14-17 ; 1962,  p. 13-18,  fig. 1-
4 ; 1968b ; - Gallia, 1974, p. 372 ;  - Gallia  Préhistoire,  1974,  p. 549-
550 ; - Gallia Préhistoire, 1976, p. 493-496, fig. 24-25 ;  - Gallia,  1976,
p. 384, fig. 6a ; - Gallia,  1978,  p. 347 ;  - Fr.  Pétry,  1979a,  p. 11 ;
- Gallia Préhistoire, 1980,  p. 324,  fig. 10 ;  - Enc.  Als.,  I,  p. 222 ;
- Ch. Bonnet, S.  Plouin,  1982b,  p. 21-28 ;  - A.-M.  Adam,  1997 ;  - Ch.
Bonnet, S. Plouin, Fr. Lambach, 1997,  p. 18,  fig. 1,  n° 11-13,  p. 25-29,
fig. 3-4, 6, 8, p. 30, tabl. 1, n° 12.

3* (001) - Le tumulus I (diam. : 30 m ; haut. : 1,50 m)  a  été  fouillé  en
1954-1955 par Ch. Bonnet et M. Jehl. Il contenait une sépulture  centrale  à
inhumation d’une grande richesse qui était déposée dans une fosse  de  60 cm
de profondeur. L’édification du tertre remonte au Bronze  moyen  d'après  la
présence de tessons découverts sur le sol naturel du tertre, à proximité  de
la chambre funéraire qui  a  perturbé  la  première  tombe.  L’inhumé  était
couché sur le dos, orienté ouest/sud-ouest, la tête à l’ouest.  Le  long  du
côté gauche du défunt se trouvaient 1 coupe à pied, 1  coupe  côtelée  et  1
urne ; à la droite des pieds ont été recueillis 1 flacon, 1  passoire  et  1
pyxide. L’urne en céramique est caractéristique du Hallstatt  C :  elle  est
peinte en rouge avec des motifs en croisillons de couleur noire.  La  pyxide
se rapproche des modèles des  étrusques du VIIe siècle av.  J.-C.  (fig. 19,
p. 98). L’objet, réalisé en tôle de bronze, enveloppait  un  corps  en  bois
dont il conservait encore des traces  de  bois  non  calciné.  Ce  fait  est
unique. La pyxide ne pouvait donc  être  utilisée  comme   ou  .  Ce  détail
l’éloigne  des  exemplaires  étrusques.   D’autres   traits   morphologiques
diffèrent également des pyxides italiques : la poignée  ronde  remplace  une
chaîne articulée et la fleur de lotus surmontant le  couvercle  possède  une
tige moulurée au lieu d’une tige lisse. Il est probable que cet objet a  été
façonné en dehors de l’Etrurie,  peut-être  dans  le  domaine  hallstattien,
sans doute entre l’Italie du Nord et l’Autriche. La  coupe  côtelée  à  fond
ombiliqué et décorée de 51 godrons (fig. 20, p. 98)  provient  d’Etrurie  et
plus précisément de Vetulonia. Elle paraît au début du VIIe siècle  av.  J.-
C. et correspond au courant d’importation d’Italie du Nord vers le nord  des
Alpes, en Bourgogne et dans la vallée  du  Rhin  moyen,  daté  du  Hallstatt
ancien. La coupe à pied se rencontre fréquemment dans  le  site  éponyme  de
Hallstatt au VIIe siècle av. J.-C. Le flacon qui servait  à  puiser  possède
un profil globulaire identique à celui de la  tombe  220  de  Hallstatt.  Il
manque le col cylindrique dont on devine  l’amorce.  La  passoire  de  forme
conique réalisée d’une seule pièce par martelage peut être  datée  du  VIIIe
siècle av. J.-C. Cet ensemble exceptionnel, qui peut être daté du  début  du
VIIe siècle av. J.-C., prouve le  statut  social  élevé  du  défunt  et  les
relations précoces  avec  la  Méditerranée.  Musée  d’Unterlinden,  Colmar :
Gallia, 1956, p. 294-297, fig. 1-2 ; - M. Jehl, Ch.  Bonnet,  1956 ;  1957 ;
1966b, p. 9, fig. 1E et fig. 3 ; 1968b ; - Ch.  Bonnet,  1974-1975,  p. 156-
158 ; - O.H. Frey, 1980 ; - Ch. Bonnet, S. Plouin, 1982b,  p. 24-26 ;  - A.-
M. Adam, 1996b, p. 20-24 ; - S. Plouin, Ch. Bonnet, 1996 ; - Ch. Bonnet,  S.
Plouin, Fr. Lambach, 1997, p. 18, fig. 1, n° 12, p. 27-30, tabl. 1,  n° 12 ;
- A.-M. Adam, 1997.",
CAG68_appenwihr_4c0488c2,"4* (002 AP) - Le tumulus II (diam. : 20 m ; haut. : 0,70 m) a été fouillé en 1955. Quatre tombes ont été décelées au",Appenwihr,68,FR,TUMULUS,,,,,HALLSTATT,Ha C,-800,-620,HIGH,CAG 68 — Haut-Rhin (M. Zehner),"4* (002 AP) - Le tumulus II (diam. : 20 m ; haut. : 0,70 m)  a  été  fouillé
en 1955. Quatre tombes ont été décelées  au  niveau  du  tertre  détruit  en
partie par un chemin forestier. Une  urne  à  mamelons  et  à  anses  a  été
récupérée après destruction du site. Cette  découverte  permet  de  proposer
une datation quant au premier établissement du tertre au Bronze  moyen.  Les
trois autres tombes sont datées du Hallstatt final par une fibule à  ressort
et des anneaux de jambes creux. Musée d’Unterlinden, Colmar : M.  Jehl,  Ch.
Bonnet, 1966b, p. 10, fig. 1E et  fig. 4 ;  - Ch.  Bonnet,  S.  Plouin,  Fr.
Lambach, 1997, p. 27-30, tabl. 1, n° 12.

5* (002) - Le tumulus III (diam. : 20 m ; haut. : 1 m)  a  été  fouillé  par
Ch. Bonnet et M. Jehl en 1956-1957. Deux objets ont été recueillis  dans  la
zone  centrale :  une  épée  en  fer  (long. :  0,96 m)  et  une   céramique
(fig. 21). L’épée était munie d’une lame à double tranchant,  renforcée  par
une nervure centrale et apparemment sans pointe  (Hallstatt C).  La  poignée
est incomplète, munie de rivets. Elle ressemble typologiquement à l’épée  de
Sundhoffen, forêt du Kastenwald (n° 331, 001 AH). Des traces  de  fibres  de
tissus ont été  observées ;  une  étoffe  enveloppait  la  lame  sur  quatre
épaisseurs. Une épée en bronze  de  même  type  a  été  découverte  dans  un
tumulus de Gündlingen en Pays de Bade, en face de la  forêt  de  Kastenwald.
Cette trouvaille confirmerait l’existence d’un passage de  part  et  d’autre
du Rhin passant par Breisach. Les tessons appartiennent à une coupe noire  à
fond plat ornée d’une large bande  d’incisions  géométriques  regroupées  en
métopes de style Alb-Salem (Hallstatt C). On note une différence  de  niveau
entre  l’épée  et  la  céramique,  ce  qui  laisse  supposer   deux   tombes
distinctes : une tombe (à inhumation ?)  avec  épée  et  une  seconde  tombe
constituée d’une céramique. Les fouilleurs ont également  observé  une  zone
charbonneuse au fond  du  tertre  qui  pourrait  remonter  à  l’incinération
primitive datant de l’édification du tertre avant le Hallstatt C  (fig. 22).
Par analogie avec les autres  tumulus  d’Appenwihr,  sa  fondation  pourrait
dater du Bronze moyen. Musée d’Unterlinden, Colmar : M.  Jehl,  Ch.  Bonnet,
1958, p. 14-17 ; 1966b, p. 10, fig. 1E et fig. 5 ; - Ch. Bonnet,  1974-1975,
p. 152-153 ; - Ch. Bonnet,  S.  Plouin,  1982b,  p. 24 ;  - Ch.  Bonnet,  S.
Plouin, Fr. Lambach, 1997, p. 18, fig. 1,  n° 12,  p. 25,  p. 30,  tabl.  1,
n° 12.",
CAG68_appenwihr_429f1526,"6* (003 AP) - Le tumulus IV (diam. : 30 m ; haut. : 1,45 m) a été fouillé en 1960 par Ch. Bonnet et M. Jehl. La tombe",Appenwihr,68,FR,TUMULUS,,,,,HALLSTATT,,-800,-450,HIGH,CAG 68 — Haut-Rhin (M. Zehner),"6* (003 AP) - Le tumulus IV (diam. : 30 m ; haut. : 1,45 m)  a  été  fouillé
en 1960 par Ch. Bonnet et M. Jehl. La tombe supérieure a  été  découverte  à
0,45 m de profondeur, au centre du tertre. Les ossements  étaient  émiettés.
Les fragments de crâne étaient coiffés par un amas de tessons, que  l’on  ne
peut que partiellement assembler. 2  petites  coupes  ont  été  trouvées  au
niveau des jambes. Cette singularité a déjà été observée en 1954  à  Colmar,
n° 066, route de Rouffach. A proximité immédiate et à la même profondeur  se
trouvait un amas de gros graviers épais de 0,35 m. Peut-être  s’agit-il  des
fondations d’une stèle surmontant le tumulus (?). On y observe également  la
présence  d’un  goulot  d’amphorette  romaine.  La  seconde  tombe,  pillée,
reposait au niveau du sol naturel, à  1,50 m  de  profondeur.  Le  squelette
était assez bien conservé. 6 petits clous de  bronze  à  tête  hémisphérique
ont été découverts, l’un contre la clavicule, les autres dans la  région  de
la  taille.  Ils  proviennent  vraisemblablement  de  l’ornementation   d’un
fourreau de poignard comme ceux trouvés dans la tombe  centrale  d’Appenwihr
V. Datation de la  première  tombe :  Hallstatt.  Datation  de  la  deuxième
tombe : Bronze moyen.
En 1976, un sondage a été réalisé dans le tertre dans  l’espoir  de  trouver
les traces d’un enclos circulaire. A défaut d’un fossé, les  fouilleurs  ont
découvert une tombe périphérique datée de l’époque hallstattienne  contenant
1 coupelle, quelques fragments de fer, 1 perle et 1 fragment de  bracelet  à
section ronde  en  lignite.  Musée  d’Unterlinden,  Colmar :  M.  Jehl,  Ch.
Bonnet, 1962, p. 13-18, fig. 1-4 ;  1966b,  fig. 1E ;  - Ch.  Bonnet,  1974-
1975, p. 155 ; - Ch. Bonnet, S. Plouin, Fr. Lambach,  1997,  p. 18,  fig. 1,
n° 12, p. 25-28, fig. 8, p. 30, tabl. 1, n° 12.",
CAG68_appenwihr_a980d475,7* (004 AP) - Le tumulus V a été fouillé par Ch. Bonnet en 1973. Son diamètre est de 40 m. Il a livré 2 inhumati,Appenwihr,68,FR,TUMULUS,,,,,HALLSTATT,,-800,-450,HIGH,CAG 68 — Haut-Rhin (M. Zehner),"7* (004 AP) - Le tumulus V a  été  fouillé  par  Ch.  Bonnet  en  1973.  Son
diamètre est de 40 m. Il a livré 2 inhumations dont  l’une  date  du  Bronze
moyen (2 bracelets massifs, 1 bague, 2 anneaux de chevilles,  1  collier  de
perles d’ambre, 1 urne et 2 épingles) et  la  seconde  du  Hallstatt  ancien
avec quelques fragments de  céramique  et  un  bracelet  en  lignite.  Musée
d’Unterlinden, Colmar : Gallia,  1974,  p. 372 ;  - Ch.  Bonnet,  1974-1975,
p. 150-152.",
CAG68_appenwihr_f05e06f9,"8* (005 AP) - Le tumulus VI (fig. 23, 24) (diam. : 40-45 m ; haut. : 1,60 m) a été fouillé par Ch. Bonnet et S.",Appenwihr,68,FR,TUMULUS,,,,,,,,,MEDIUM,CAG 68 — Haut-Rhin (M. Zehner),"8* (005 AP) - Le  tumulus  VI  (fig.  23,  24)  (diam. :  40-45 m ;  haut. :
1,60 m) a été fouillé par Ch. Bonnet et S. Plouin en 1974-1975.  Un  premier
tertre à fossé de l’âge du Bronze moyen  a  été  complètement  enveloppé  au
début de l’âge du Fer (fig. 23). Une fouille ancienne a perturbé  la  partie
centrale.   qui  ont  livré  des  céramiques   (fig. 24,   p.   94).   Musée
d’Unterlinden, Colmar : Gallia, 1976, p. 384,  fig. 6a ;  - Ch.  Bonnet,  S.
Plouin-Mantzer, 1979b ; - Ch. Bonnet, S. Plouin, Fr. Lambach,  1997,  p. 18,
fig. 1, n° 12, p. 30, tabl. 1, n° 12.",
